"ensembl_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type"
"ENSG00000166923",212.987371395535,26.211920172356,4.00063295415117e-70,1.33965195102706e-66,"GREM1","protein_coding"
"ENSG00000115221",87.220462009316,24.9598658193439,5.07880637315581e-67,1.41724091842913e-63,"ITGB6","protein_coding"
"ENSG00000176971",70.8359027962256,24.662110492981,1.61035581922623e-64,3.85174106875781e-61,"FIBIN","protein_coding"
"ENSG00000060718",82.3754924700569,24.5780170257356,1.86461052084277e-72,7.80479348761764e-69,"COL11A1","protein_coding"
"ENSG00000198768",57.1476177779918,24.3940797746618,1.7373902616153e-79,1.45445625751125e-75,"APCDD1L","protein_coding"
"ENSG00000101825",46.7715350561287,24.0980587759632,8.24119256007354e-61,1.53313652259235e-57,"MXRA5","protein_coding"
"ENSG00000139874",43.1378438267256,23.9660966939672,2.17964142115199e-62,4.56171703929347e-59,"SSTR1","protein_coding"
"ENSG00000221818",28.0352768951058,23.3864894294906,8.15801930975649e-43,5.938683361011e-40,"EBF2","protein_coding"
"ENSG00000144891",25.8735132881905,22.7940657163897,1.73658151071067e-58,2.90755842338288e-55,"AGTR1","protein_coding"
"ENSG00000106511",22.1252946954903,22.732224150451,4.34789778701979e-36,1.63624822187226e-33,"MEOX2","protein_coding"
"ENSG00000124343",27.2402420312593,22.4411476170751,7.85862695908065e-54,1.09647492646573e-50,"XG","protein_coding"
"ENSG00000275410",11.0622633277231,22.0871010358048,1.71697155073972e-20,1.4084511137992e-18,"HNF1B","protein_coding"
"ENSG00000146477",17.926591193123,21.8591812623969,1.80093662464743e-44,1.5076540953236e-41,"SLC22A3","protein_coding"
"ENSG00000142273",46.5268758361056,21.3742431166373,7.97385722969892e-31,1.96332781760072e-28,"CBLC","protein_coding"
"ENSG00000131737",26.09859154754,19.3149822415038,3.60055265020057e-34,1.13743496268506e-31,"KRT34","protein_coding"
"ENSG00000078098",168.958641065504,11.9761266225724,3.36547725900871e-25,4.77526997860872e-23,"FAP","protein_coding"
"ENSG00000013297",399.942221101033,11.6217407937986,1.76964678777709e-17,9.58873662386789e-16,"CLDN11","protein_coding"
"ENSG00000149090",161.74950824939,10.7711233621165,9.10777378377103e-17,4.59311615848429e-15,"PAMR1","protein_coding"
"ENSG00000138271",79.1185709744779,10.7325213607374,6.44895850494875e-14,2.26838050941926e-12,"GPR87","protein_coding"
"ENSG00000164692",5581.44182946566,10.6271276418283,6.044629913825e-29,1.21934022466472e-26,"COL1A2","protein_coding"
"ENSG00000107984",1250.66752851346,10.6057378307444,4.5432780754941e-47,5.4334360584284e-44,"DKK1","protein_coding"
"ENSG00000162618",73.6090710105073,10.6014770518612,8.46822282662495e-14,2.90539866365126e-12,"ADGRL4","protein_coding"
"ENSG00000196611",1184.74276357936,10.3178285735029,3.3535143468447e-20,2.63605120700567e-18,"MMP1","protein_coding"
"ENSG00000182107",52.6973449398093,10.202234619996,1.7523485383122e-15,7.33489289424029e-14,"TMEM30B","protein_coding"
"ENSG00000144810",555.60117750563,10.1544108424001,5.91159935148314e-24,7.0698505672773e-22,"COL8A1","protein_coding"
"ENSG00000169583",98.6391328847435,10.1332222982488,9.35862166635867e-19,5.91288311546579e-17,"CLIC3","protein_coding"
"ENSG00000083307",53.081770134629,10.0851148695896,6.1096608944255e-09,9.07666835451341e-08,"GRHL2","protein_coding"
"ENSG00000166741",480.988957464219,9.94705584768828,5.37274234791285e-25,7.37342828943482e-23,"NNMT","protein_coding"
"ENSG00000170961",177.485259111455,9.68436682998227,1.44269930829061e-20,1.21382485018641e-18,"HAS2","protein_coding"
"ENSG00000102802",105.037821791102,9.63778061454004,3.47801098356477e-11,7.67224478232212e-10,"MEDAG","protein_coding"
"ENSG00000081277",105.477298591117,9.63551345326873,9.72783859900604e-11,2.00089928333118e-09,"PKP1","protein_coding"
"ENSG00000115414",15856.3222865392,9.42582552752322,2.5695822660394e-46,2.53073622825281e-43,"FN1","protein_coding"
"ENSG00000164122",31.7759001583288,9.41706906844458,4.53209384713902e-06,3.52278771042937e-05,"ASB5","protein_coding"
"ENSG00000163359",2182.61079455584,9.33730048798695,3.93441613948709e-17,2.07150721457334e-15,"COL6A3","protein_coding"
"ENSG00000101680",85.5079152528236,9.31015264235206,1.04400360320612e-18,6.51637230071327e-17,"LAMA1","protein_coding"
"ENSG00000111799",693.784102817744,9.30664163869377,6.70235883886327e-39,3.20621697254537e-36,"COL12A1","protein_coding"
"ENSG00000182492",414.674371922179,9.24078727688693,9.05588418203378e-19,5.76512048896546e-17,"BGN","protein_coding"
"ENSG00000153292",53.5297160046979,9.22843134058895,5.76854813701419e-07,5.59251890318637e-06,"ADGRF1","protein_coding"
"ENSG00000131746",222.732790675935,9.13639553982289,2.89062717104212e-10,5.51855994581052e-09,"TNS4","protein_coding"
"ENSG00000168542",2366.31802105902,9.03022060869519,7.76248890067241e-23,8.07250631453156e-21,"COL3A1","protein_coding"
"ENSG00000074410",310.971707279617,9.00796393084041,1.7207716765002e-27,3.06498725315349e-25,"CA12","protein_coding"
"ENSG00000166396",231.504105069207,8.98463341862406,7.31088636487184e-16,3.30827487586619e-14,"SERPINB7","protein_coding"
"ENSG00000180801",85.4389854877985,8.96905111431997,3.59274458961665e-31,9.25435733291562e-29,"ARSJ","protein_coding"
"ENSG00000133477",23.0048595432305,8.96128600765222,5.66931467450948e-09,8.48269308269099e-08,"FAM83F","protein_coding"
"ENSG00000104722",44.6522129127752,8.95379393476318,3.81553387239458e-08,4.79245938675938e-07,"NEFM","protein_coding"
"ENSG00000183072",17.9523168939352,8.79540161757907,1.986260482532e-09,3.22560225596831e-08,"NKX2-5","protein_coding"
"ENSG00000125398",95.3561566693511,8.78747458909766,9.02199944533969e-31,2.18920777845395e-28,"SOX9","protein_coding"
"ENSG00000189320",39.0090522371819,8.78393270341671,4.2353133907733e-10,7.89664277301975e-09,"FAM180A","protein_coding"
"ENSG00000136155",40.0172314115956,8.78157558829148,5.37650467472087e-07,5.26425834905565e-06,"SCEL","protein_coding"
"ENSG00000188910",91.8848748567754,8.73808966301146,2.72615216542097e-11,6.14319861448765e-10,"GJB3","protein_coding"
"ENSG00000139329",173.016595620285,8.70740780751255,1.32447227492276e-12,3.71451244539895e-11,"LUM","protein_coding"
"ENSG00000050165",565.611350986069,8.63475621515922,2.575619083548e-31,6.73806098685065e-29,"DKK3","protein_coding"
"ENSG00000106366",6472.48579397955,8.62612265661118,1.00582633419146e-37,4.31808982394039e-35,"SERPINE1","protein_coding"
"ENSG00000148344",262.227602130504,8.61420951525897,3.3166394570435e-25,4.7461961050666e-23,"PTGES","protein_coding"
"ENSG00000198121",417.118312922184,8.58672876415592,6.14763286416557e-26,9.80283971854516e-24,"LPAR1","protein_coding"
"ENSG00000156510",50.5373702718255,8.58119701192141,7.43294749749466e-14,2.57831673648234e-12,"HKDC1","protein_coding"
"ENSG00000117152",458.607465497962,8.56442577539913,2.45044820257726e-21,2.14805519663618e-19,"RGS4","protein_coding"
"ENSG00000103460",17.2780676975645,8.55715038368038,1.6001053374839e-06,1.38024542326084e-05,"TOX3","protein_coding"
"ENSG00000126785",52.4662811538515,8.55661136651154,1.86134496929238e-12,5.11732328749792e-11,"RHOJ","protein_coding"
"ENSG00000166250",258.033245830293,8.52324361972451,1.63754682856538e-29,3.51505725008592e-27,"CLMP","protein_coding"
